KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]

u	的
mmxn	鸯
rqfg	篝
xidu	厩
vihb	腆
hosh	夔
djem	咻
kdvy	涓
rbks	箓
ythf	轶
ehju	邃
ozui	曜
qaqh	瞰
jpvs	岱
ljde	葆
rxxo	籁
sghi	谆
etku	槌
rzhb	箕
lxlc	蔗
dxch	啾
lwyc	荤
vfpd	剽
kyon	淖
ymfd	酮
zrcg	锢
ntdf	骧
jdtl	龛
mxhe	獗
alae	牒
exns	樟
aghx	痣
elwj	檬
asvb	疵
czub	熠
qhfm	睽
kwad	泞
ctfi	蚯
ckty	蛹
qwlz	畹
hjzj	怆
yhui	罹
obpr	飕
kwmp	浣
ejby	桧
zczj	銮
qahb	睐
kmpe	沅
vaxh	斓
fgks	祛
bdmj	娲
xnvs	庖
ljby	荟
ocvb	昵
uabi	皎
mhfw	罔
ewth	槟
ivfs	缥
ecqm	楣
crdk	蛔
xmbm	靥
psmk	黜
dndt	囔
ndfa	骋
eadd	榈
bflc	妍
awwv	瘠
xich	灸
dxhx	噫
eens	杵
zgmd	镁
vmoa	腌
yuch	醮
coeg	焊
ylph	醺
pgdk	黠
jmfd	侗
tutn	裨
uqis	摞
lnid	芍
ewhg	榕
iwki	绾
uzui	擢
zclc	弈
mmhy	獠
swpw	谗
jwki	倌
geai	圪
odmb	邕
yqpe	酰
ojvn	晔
kcyi	渥
jwvb	佗
qppe	睨
cetj	蜥
zuvn	镌
hqnt	冁
cxjd	蝌
vvej	觊
ouuc	暹
zxch	锹
qkdk	饴
ptle	糯
uhqn	掸
ctgu	蜓
lekm	莓
szha	谌
rfsc	囤
bztk	嬷
ybmk	酗
chks	蚣
vcpe	氪
wozv	鳎
ebks	棣
anvs	疱
rylx	箩
aaqh	阚
lsvb	龇
zpbn	镂
wunw	徨
qfsc	盹
titp	袤
dnte	郢
cbgs	蚓
jonf	偈
dwad	咛
hoam	愠
hmmd	怏
nlte	琊
klws	涝
qdxn	鹄
lfns	芋
nvui	璀
kbks	泓
eisl	窈
iipq	畿
psxn	鹭
noqm	瑁
meof	碴
rgnw	筠
kjid	涿
lcyi	龌
btzk	婀
fopg	戛
vdde	臊
zwlz	豌
nfvv	骊
wizj	鲫
wydk	鲇
cwff	煊
ooaf	罂
bwpe	娩
lvvp	蒯
sdda	谔
nhlc	骈
krdk	洄
zmhy	镣
bofi	妲
eulh	檄
dkrp	啵
ipid	纫
jakc	俦
gdob	殒
xmag	魇
lwju	蓿
plvo	粼
ihyd	绺
gfns	圩
fyhx	忑
nwlz	琬
sbid	诋
xyuc	迩
lwgy	藓
dfaq	饕
anam	牍
bj	蠡
bjcc	蠡
smnw	诳
tsof	霭
unpm	掬
cimd	熵
kxhc	濂
bfbs	婕
sdti	袈
ztqt	镭
etub	皙
diis	咝
tpbn	褛
vziu	臃
gfob	埂
ewui	榷
qgag	馐
hnvs	孢
xwvb	鸵
voam	氲
wovv	鲲
hbsl	恸
sxbn	诿
kiwl	滂
seai	讫
sqhh	谡
mydk	砧
lbkc	荨
hhyc	辇
wgpd	冽
ebjs	椽
kycs	泸
zmid	钛
eiit	榔
skdk	诒
vons	覃
cghd	蟮
cbnr	烯
mldu	獾
babi	姣
aohx	憩
uwth	摈
ifco	缙
dmhy	嘹
bteq	孀
kgpd	洌
fndk	祐
iots	缇
heid	怵
cwmp	烷
tunw	隍
vplv	嶙
umuc	挞
mbxy	猕
pxhe	蹶
urmh	摁
ojfs	赊
kcrp	涮
zopd	铡
mkhh	狻
bquc	遛
ceoh	蝮
gisl	坳
bisi	妫
ehyk	樽
lsmk	茁
dlai	呓
mnbi	奁
hzrf	懔
rkub	箔
znnk	钜
lddk	莒
swed	谘
jmbn	佞
ztgu	铤
ikid	纨
ithn	骛
djjg	唑
qmhy	瞭
bdcq	犟
mqvy	猬
bnbi	妪
vycs	胪
qndt	馕
smic	谝
jhdk	僖
avej	靓
rhzd	簦
qfpg	饯
kvja	涔
wmhy	寮
hens	忤
krjr	泅
vmfd	胴
crni	蝈
mogs	砷
wxch	鳅
mxxo	獭
xtmg	觥
dnyy	嘁
lkrp	菠
jmgd	倜
urrr	掇
ketj	淅
yhpd	酚
kahb	涞
yati	繇
jfki	俅
dgka	嗑
cjvn	烨
ctpq	燔
opuc	邋
lemz	旖
iyid	辔
vqaa	鼐
vnor	峋
ugdk	拮
yvor	酯
gwzd	壹
aclr	癜
qnwh	饽
cxfp	蛎
kduc	迨
jpbn	偻
bqfg	媾
qovv	馄
dnaf	啕
dktu	嗵
gimd	墒
hwyc	恽
zqpe	铣
obcc	飚
yboa	醯
jlgh	儆
dnnw	哐
unuc	遑
azbv	魑
ejjr	枞
rkdk	笞
vavy	氰
qpgr	馊
chju	燧
ljil	莅
iqyt	缈
jcvb	伲
amuc	闼
dhzd	噔
umai	抟
erid	杈
lmch	荻
xfdu	逅
moid	矾
qlda	馑
xoeh	馥
pdsl	劭
ebyx	栎
lfsc	蔫
dbry	呶
zwhg	镕
eeuc	迤
rnvy	囿
fmhx	忝
thks	衮
vpjr	腴
novv	琨
such	谯
rnes	囫
tlnh	鞯
kkks	淼
hhte	郏
qtgs	饪
laui	蔺
sqpe	诜
zbpe	铳
agmd	奘
vmid	肽
vvfs	膘
lydk	苫
liug	荭
pgpd	趔
jfvv	俪
kwnx	滓
utcc	蜇
disl	呦
elzj	栉
kgjs	濠
aofi	疸
ruzg	箝
zbem	铩
kzui	濯
ydae	乩
tlvh	霰
pkam	盥
wyaf	徭
cjks	蛉
jccg	倨
mvvy	硼
gbwr	埽
ixbj	绉
bhtf	娣
evra	楹
kfof	洹
ykzh	虢
swyc	诨
zapm	锲
zabi	铰
kmmd	泱
ihhz	绻
vvlh	巽
ljae	芩
zdnw	锃
kyzd	澧
vaat	酆
kqor	渚
syvy	诮
dote	郧
anri	魃
mxfp	砺
ieai	纥
simc	谪
ihem	绦
khoi	馗
ngrp	璨
qsvb	眦
zjnw	铨
zovv	锟
bhlc	姘
gcqo	赭
aztn	罅
sxfd	诟
jzoj	伉
aric	瘙
ycxn	鸬
xfem	秣
rafd	笥
clml	螨
ojad	晗
monf	碣
rqor	箸
axbn	痿
gczr	赧
dgdk	咭
tbdc	襁
mtri	砭
rkhx	怼
lywv	薨
heoh	愎
ujvp	揄
gonf	羯
yyzd	醴
ljmq	茯
fx	鹘
hhsy	誊
tllg	陲
pefp	髡
wyte	郓
anks	闳
ahfm	阕
kunw	湟
mkme	碜
iyvy	艄
wbkc	鲟
dtrq	吒
dhro	噌
vxbv	峥
vnxn	鸨
nnid	珏
tljd	褡
boam	媪
znri	钹
qbqt	馏
tati	裱
djby	哙
rcyi	幄
kiui	潍
snbi	讴
dmid	呔
lxhx	薏
sitd	谲
ljjr	苁
alws	痨
shvm	氅
yfnr	爰
noob	璎
ryni	篾
zziy	铉
xlor	厝
edqe	楫
xutn	稗
jati	衾
wahb	徕
urni	掴
efcy	桠
cjby	烩
dcch	啖
hcvb	怩
epnu	樾
njjo	赍
maob	碛
uzeq	揿
itmx	鹬
hryr	甑
mcuc	逖
ytzj	錾
cbhi	孬
ajjg	痤
jtis	係
jeu	倥
jeug	倥
ngk	珐
ngks	珐
ythf	瓞
mui	碓
rya	笊
iyc	舻
iycs	舻
pby	跞
pbyx	跞
plu	跹
pluc	跹
fws	髂
fwsg	髂
cvx	鹕
cvxn	鹕
pnnw	班
vnnw	斑
pnnx	辨
snnx	辩
ynnx	瓣
ynn	瓣
innx	辫
inn	辫
fubb	弼
pbbg	粥
bbeu	攀
bbe	攀
bbem	樊
yiid	辔
hpuu	掰
iteh	懋
bunp	兜
ladc	燕
eqo	楮
eqor	楮
vng	膈
jdte	郃
zby	铄
zbyx	铄
lemz	旃
ojj	矬
ojjg	矬
mtf	砩
iho	艏
ihoi	艏
lfq	苴
ljt	荏
ljtg	荏
aphc	螯
gvj	圮
rth	帙
rthf	帙
lefr	旆
epf	桡
epfp	桡
kjxr	溆
kmqo	潴
apb	瘘
apbn	瘘
itk	缒
itku	缒
lci	芰
ssm	诎
ssmk	诎
zhtf	锑
eufr	椴
lzy	苄
lzyb	苄
tss	陟
tssi	陟
uur	雙
uury	雙
vpd	刖
dmgd	啁
hpr	悭
hprg	悭
eor	東
cbq	熘
cbqt	熘
ztz	锕
ztzk	锕
avs	疝
lmo	莸
lmoy	莸
usui	雠
mho	鹩
mhox	鹩
suui	雠
suu	雠
dle	嗾
dleo	嗾
xqe	稞
xqem	稞
chhb	蛱
okh	赅
wjkc	鲋
mmav	匏
vbn	崤
vbnv	崤
hcg	怙
maes	砀
cxh	蠊
cxhc	蠊
tjkf	裣
hxn	鹆
pdy	鼬
cjz	炝
cjzj	炝
azj	疖
mjk	硷
mjkf	硷
jpm	籴
lrs	芟
hxc	愀
hxch	愀
kzo	沆
kzoj	沆
ambg	痍
mtu	硪
mtup	硪
lcfi	苤
lwmh	蔻
cpd	蜮
cpdf	蜮
pgu	蹉
pgug	蹉
wmi	鳊
wmic	鳊
jvpm	僳
dka	嗌
dkam	嗌
vah	崃
vahb	崃
vvbn	崾
lcd	薜
lcdn	薜
pjk	跗
pjkc	跗
goa	韫
goam	韫
yrn	卣
yrnk	卣
kpu	浞
mcv	猢
mcvy	猢
mlp	獯
mlph	獯
aoob	瘿
icv	艉
icvm	艉
nsy	訇
phm	踯
phmt	踯
yot	醍
yots	醍
tlf	雱
jgyo	僦
byw	嫒
bywr	嫒
qje	畛
qjes	畛
mmf	硐
mmfd	硐
ihr	缯
ihro	缯
vry	胨
vryx	胨
vgte	鄄
zlp	锸
zlpj	锸
jgd	佶
jgdk	佶
gdob	埙
cdnb	嬖
vyx	尕
wgy	徉
hof	怛
hofi	怛
extj	槲
mxtq	獬
vck	脲
vcks	脲
tlt	鞴
tltt	鞴
ddq	鼍
ddqd	鼍
trq	乇
dwq	噻
dwqg	噻
bav	婧
bavy	婧
vww	嵴
vwwv	嵴
kxs	涑
ieq	缃
ieqm	缃
sax	谰
saxh	谰
smp	粜
smpm	粜
zjvn	铧
ohy	晷
ohyd	晷
mjb	狯
mjby	狯
mhy	狲
mhyx	狲
qxr	畈
qxry	畈
rgj	笱
fvvu	逦
zzo	钪
zzoj	钪
tby	雲
rwd	圄
rwdk	圄
eie	榇
eiem	榇
cwd	焐
cwdk	焐
vfs	肫
vfsc	肫
letv	膂
wnr	鲅
wnri	鲅
kmk	凼
nwyc	珲
zmn	锛
zmnl	锛
jjz	伧
jjzj	伧
fpsl	劢
obm	昴
mit	猱
mite	猱
aqq	癯
aqqu	癯
qfn	盱
qfns	盱
gwfr	觳
wghh	鲮
wkj	宄
eghi	椁
rfl	笄
rflc	笄
jpc	伥
xyc	厍
tms	砻
lqq	荠
cgy	蛘
gxuy	塬
udmb	挹
lyf	菽
lyfr	菽
lla	葉
llae	葉
yyc	轳
yycs	轳
zjex	鹨
mpd	亓
jqem	倮
jxx	儋
jxxs	儋
udsp	捌
vhw	氡
vhwb	氡
vje	胗
vjes	胗
zqm	钼
zqd	锆
zqdk	锆
nwhx	鹁
dtui	嚯
nob	郾
nobt	郾
zna	铖
znae	铖
ttmp	鞒
wfob	鲠
jld	僅
jlda	僅
cyo	焯
cyon	焯
zqo	锗
zqor	锗
tru	陉
trug	陉
tnuh	隳
ejja	麪
doq	嘬
doqr	嘬
eni	杓
enid	杓
edf	枵
edfa	枵
kmq	畚
kmqt	畚
gka	盍
gkam	盍
mpfp	硗
vma	肟
vmae	肟
fpcc	虿
tao	裥
taor	裥
mgdu	週
wqr	鲰
wqry	鲰
mfp	兕
mfpe	兕
gkh	垓
ezrf	檩
coy	熳
coyr	熳
fst	邨
fste	邨
pmv	鬯
pmvb	鬯
cfn	黼
cfnf	黼
mnv	狍
mnvs	狍
mmay	瓠
svob	赀
pqp	跣
pqpe	跣
lvb	龀
xsh	廠
xshp	廠
khk	澍
khkc	澍
mak	碡
makm	碡
ick	缱
icku	缱
ckqn	蛑
sko	诶
skos	诶
zhhz	锩
zax	镧
zaxh	镧
qqem	馃
pey	鬟
peyt	鬟
rfi	孑
vgu	嵯
vgug	嵯
rxz	篪
rxzh	篪
iov	绲
iovv	绲
ycb	罘
aiw	耪
aiwl	耪
lwgt	茔
psgt	蹚
ryxn	鸫
qmg	聃
qmgt	聃
szjn	谇
dxs	呖
dxsl	呖
hhbc	慊
xnhh	戆
och	炅
vhl	胼
vhlc	胼
lvz	菔
lvzr	菔
lkfq	菹
zle	镞
zleo	镞
dyo	唢
dyob	唢
myc	砗
lif	莼
lifs	莼
lfb	萋
lfbb	萋
ypl	辚
yplv	辚
hcu	鼙
hcun	鼙
jwth	傧
ulq	扦
aho	赉
ahob	赉
zrp	铍
jzpg	戗
uxl	摭
uxlc	摭
exc	楸
exch	楸
kbd	洳
kbdk	洳
lmf	萘
lmfs	萘
leki	蘩
pyn	躅
pync	躅
wfsc	鲀
vhz	嶝
vhzd	嶝
gvn	羰
gvnc	羰
vog	胂
vogs	胂
ltke	蘖
sji	诼
sjid	诼
zbn	钕
wfv	鲡
wfvv	鲡
gla	堞
glae	堞
dee	啉
deem	啉
qidl	疃
run	篁
runw	篁
cej	蚬
zyb	钋
zfsi	钲
exh	楝
exhb	楝
lhae	芤
zlom	镆
ddu	呒
ewff	楦
qlc	畀
arf	痱
iix	鸶
iixn	鸶
jpgt	垡
ihbc	缣
aoo	阊
aoor	阊
fjp	骱
fj	骱
fjpd	骱
jnl	偾
jnlo	偾
dzg	咁
xdhg	廛
jkr	瓴
jkrw	瓴
zcmj	脔
ixr	舨
ixry	舨
lwb	葎
lwbv	葎
luc	迓
vghi	崞
qhp	畋
aky	痧
akyt	痧
eyy	窳
eyyg	窳
gkhh	羧
lkj	艽
lggk	葑
crg	蛏
crgt	蛏
cga	蜣
cgae	蜣
yxb	醣
yxbd	醣
zxr	钣
zxry	钣
vcw	颎
vcwy	颎
fyn	髑
fync	髑
xpp	黧
xpph	黧
kwq	喾
kwqd	喾
rrp	帔
gje	殄
gjes	殄
pzg	甙
xei	秫
xeid	秫
clyi	蠛
pod	踟
podk	踟
fkiu	逑
zwth	镔
nxb	驺
nxbj	驺
pwwc	鼗
erd	極
erdf	極
mhhb	硖
ycg	罟
tdn	裎
tdnw	裎
pxz	蹰
pxzk	蹰
kdt	邰
kdte	邰
fwt	髌
fwth	髌
ahh	麸
ahhf	麸
vcg	岵
ohf	暌
ohfm	暌
owo	暝
owoa	暝
mzeq	欹
efsc	窀
lzje	蓼
tssn	骘
brhi	孥
rxn	幛
rxns	幛
hcob	愦
veq	肷
lgd	薹
lgdy	薹
zlq	钎
zjd	钭
zlu	镬
zlur	镬
otd	曩
otdf	曩
kzg	泔
kgka	溘
pxf	粝
pxfp	粝
lybn	荽
czg	蚶
taa	衄
taag	衄
tig	裉
htx	鹈
htxn	鹈
rggy	圉
bqi	嫘
bqis	嫘
leb	旒
lebo	旒
rhq	箪
rhqn	箪
wep	粢
wepm	粢
tone	裼
uoip	跫
tddt	酃
rss	殳
kgr	瀣
kgrf	瀣
utpq	皤
qkh	睃
qkhh	睃
vwm	脘
vwmp	脘
ltup	莪
yimu	雞
dxt	哌
dxti	哌
whty	甯
afp	疠
afpd	疠
azk	疴
vwa	胙
cdy	蚰
cfyo	螬
sxxs	谵
cdnz	鐾
zrl	钌
pen	髮
peni	髮
wvfs	鳔
bvo	彘
bvov	彘
yhr	罾
yhro	罾
ldat	鄞
yzj	醵
yzjs	醵
uii	隹
wyz	鳢
wyzd	鳢
ucx	鹪
ucxn	鹪
bovv	彘
lev	旄
levm	旄
iht	绨
ihtf	绨
lkne	蕖
coj	虮
caio	蝽
oni	尥
onid	尥
ccvy	煳
nad	玎
ntr	璁
ntrh	璁
ynm	罱
ynmg	罱
lui	萑
pldl	衝
zlf	钫
zoq	锱
zoqt	锱
hrf	悱
ummq	捩
etd	榱
etdf	榱
koql	濞
nyw	瑷
nywr	瑷
mlb	砹
mlbi	砹
exy	窨
rtr	篦
rtrv	篦
hwc	螽
hwcc	螽
hee	憷
heet	憷
mhz	磴
mhzd	磴
lzr	蘼
lzrf	蘼
tmi	褊
tmic	褊
mtrv	貔
pms	跖
yov	辊
yovv	辊
bkuc	逯
vpbn	嵝
pom	糗
pomq	糗
cle	蝣
cleh	蝣
wcf	鳚
wcfk	鳚
xxh	麇
olp	曛
olph	曛
khv	湔
khvp	湔
axhx	癔
ves	肜
ycv	醐
ycvy	醐
xvb	庀
kdg	沖
kdgs	沖
myl	猡
mylx	猡
nhpd	玢
khhr	皴
rut	筇
rute	筇
ilw	艨
ilwj	艨
tsg	袼
ypi	轫
ypid	轫
wku	逭
wkuc	逭
vlu	遄
vluc	遄
zmb	钯
fut	髀
futn	髀
ulhp	敫
vmp	朊
vmpe	朊
eum	槔
eumn	槔
kfg	沔
kfga	沔
kwks	泶
lpb	蒌
lpbn	蒌
cpfp	蛲
plae	蹀
yrbu	鹾
kwpe	浼
cvg	煙
cvgt	煙
mnm	犸
lxz	苊
lxzj	苊
lbf	薅
lbfk	薅
yfc	酽
yfcx	酽
wnvy	鲔
vjv	嵛
vjvp	嵛
esg	樘
esgt	樘
mxpe	獍
ffm	祆
ffmd	祆
epbn	窭
uoiz	銎
dxd	喱
dxdl	喱
uut	捭
uutn	捭
khpa	湓
izb	缡
izbv	缡
lge	藁
lgem	藁
enu	迕
enuc	迕
yeg	酐
tddj	靈
vhhs	勝
qnq	瞋
qnqh	瞋
jne	偬
jneh	偬
wqhu	搴
kuns	準
mil	砬
vmj	肭
vmjr	肭
ivx	舾
lyh	莩
lyhi	莩
lzha	葚
wmb	鲃
xlu	鹱
xlur	鹱
jmm	侉
jmma	侉
kwog	渖
nzj	璩
nzjs	璩
rzf	篯
rzfp	篯
pjn	糇
pjno	糇
lvj	芑
wqht	褰
zhtp	铋
wxbt	鳙
jtk	仫
jtks	仫
vgj	岣
xlci	庹
olpg	戥
eyt	杪
eytp	杪
kqi	漯
kqis	漯
oqt	甾
pvs	籼
bv	肀
zyk	锊
zykc	锊
kxb	溏
kxbd	溏
elx	穸
ywv	酡
ywvb	酡
zqe	铒
zxm	铯
zxmb	铯
twp	鞔
twpe	鞔
wqq	鲚
dig	哏
php	敉
jjc	燹
jjch	燹
zci	豉
ycgi	醭
zai	钇
zpg	锼
zpgr	锼
mth	磙
mthk	磙
fht	祕
fhtp	祕
lehk	菘
zam	钔
zmz	锜
zmzk	锜
kdc	炱
kdch	炱
lab	茭
labi	茭
ztdk	锿
ntrh	骢
jea	仡
jeai	仡
gzb	垴
gzbm	垴
cms	炻
nccg	琚
azg	疳
zsgt	镗
jex	鸺
jexn	鸺
uhs	搠
uhsv	搠
mobi	砜
tghg	陸
toi	隰
toic	隰
vlp	刿
vlpd	刿
evvj	桤
idr	瓿
idrw	瓿
iqi	缧
iqis	缧
lnw	荸
lnwh	荸
lakm	菡
qeo	馇
qeof	馇
wunw	鳇
eyc	栌
eycs	栌
kpg	溲
kpgr	溲
ify	艚
ifyo	艚
zof	锝
zofk	锝
yfdx	鹮
jen	仵
jens	仵
vvot	嶷
gyh	殍
gyhi	殍
ciuc	煺
cggg	羼
lap	葜
lapm	葜
sja	谂
sjah	谂
zcq	镅
zcqm	镅
wmgd	鲷
dhx	吣
vvs	氙
mlfw	硭
ejvp	窬
lhs	蒴
lhsv	蒴
zql	铑
sdz	哿
sdzk	哿
etr	窆
etri	窆
rjn	筌
rjnw	筌
cnh	蟥
zbo	锍
zboc	锍
lxn	鸸
jnn	佢
jnnk	佢
mqoe	橥
cdnr	甓
mtrb	硇
lmg	苒
lmgt	苒
liwl	蒡
tqf	鞲
tqfg	鞲
gxn	鸲
dmgg	喹
rhm	囧
rhmk	囧
lghe	檠
pmf	爨
pmfc	爨
iid	艟
iidl	艟
pmu	跶
pmuc	跶
ysg	辂
zwj	镓
zwjs	镓
pes	髟
krg	涠
krgw	涠
lnfb	葳
fmjt	邴
zpf	铙
zpfp	铙
zne	锪
zneh	锪
kmmq	淚
vyf	胩
vyfy	胩
zto	镄
ztob	镄
qtl	眬
ljl	蕤
ljls	蕤
lehu	遊
jddx	龢
qoz	翥
qozv	翥
iin	幾
iini	幾
all	耒
pei	術
peid	術
pxd	躔
pxdg	躔
pgy	黥
pgyx	黥
rln	箬
rlnd	箬
sddo	谮
djah	唸
jlv	傑
jlve	傑
svsy	訾
dqp	戢
dqpg	戢
ekp	樑
ekpe	樑
etq	檑
etqt	檑
ttle	襦
lpe	歃
lpeq	歃
axpd	瘌
uhhz	捲
kjkh	潋
kai	湊
kaim	湊
akq	纛
akqi	纛
lqor	蓍
wul	徼
wulh	徼
efpe	杌
gyy	芈
xhbr	廢
kzt	滹
kztn	滹
app	爿
gcrs	謦
mvvg	狴
nvw	玟
qggt	眭
mje	貅
mjem	貅
qdt	郜
qdte	郜
zcbn	娈
blo	嫫
blom	嫫
ubw	搦
ubww	搦
nyfr	瑗
ts	疋
vaaz	豐
usly	撐
gwfr	殼
efs	柰
gfq	殂
pbd	糨
pbdc	糨
ikd	绐
ikdk	绐
kjxg	塗
kei	沭
keid	沭
meg	犴
lvo	蕈
lvon	蕈
snm	谳
snmm	谳
gbi	坻
gbid	坻
hru	怿
hrus	怿
qey	牠
nbq	瑠
nbqt	瑠
nzv	翮
qyi	耋
ckj	尻
eyon	棹
twa	阼
nbqt	骝
bxyx	妳
uoo	撄
uoob	撄
kre	柒
krem	柒
jnv	侑
jnvy	侑
hdl	悝
bnre	欷
krm	洇
krmd	洇
ctm	燠
ctmm	燠
lfqf	薑
gzg	坩
vhhb	媵
wfq	徂
oeg	旰
koi	洎
kzht	澌
bmp	妧
bmpe	妧
xxt	廨
xxtq	廨
iqp	缵
iqpo	缵
tpj	裒
yde	觇
ydej	觇
bmpe	兇
vmoa	崦
uye	採
uyem	採
apbn	耧
ypd	轺
ypdk	轺
zim	镝
zimc	镝
tky	霪
tkyg	霪
dvvu	喈
lqm	眚
ccpd	剡
dpf	哓
dpfp	哓
hwa	怍
hkhh	悛
lfk	蓐
lfkc	蓐
xtyg	觚
mfu	貊
mfub	貊
akfz	卺
hyor	昝
esj	柙
etl	栊
ell	棰
ellg	棰
inr	绂
inri	绂
lok	莳
lokc	莳
lhbc	蒹
cmg	蚺
cmgt	蚺
kkke	參
vhii	嵫
rcg	幞
rcgi	幞
khbz	滏
ahhg	瘗
lhk	蓊
lhkz	蓊
fdvi	蠃
teo	複
teoh	複
vjjs	豳
qfm	遘
qfmu	遘
zqem	锞
tma	雩
tmae	雩
ngg	鬲
dmjr	呙
etg	梃
etgu	梃
mwu	確
mwui	確
xtf	秭
trt	粵
trta	粵
lwan	茕
loq	蕞
loqr	蕞
cmgg	蝰
tate	邾
flg	髒
flgl	髒
jnb	伛
jnbi	伛
ogh	暾
oghh	暾
fpw	祧
fpww	祧
vnm	腩
vnmg	腩
pidk	踣
lmw	颟
lmwy	颟
nkm	骖
nkme	骖
cfni	黻
jug	仝
gjn	堠
gjno	堠
gzr	壇
gzrf	壇
gwoh	悫
rqp	筅
rqpe	筅
ill	缍
illg	缍
ijn	缑
ijno	缑
lrmh	蒽
mi	豸
ydh	轵
ydhb	轵
tqr	陬
tqry	陬
xin	麈
xinw	麈
mmap	刳
dvlx	哕
raob	帻
eky	桫
ekyt	桫
ymr	繫
ymri	繫
iwvw	纔
vln	臟
vlnq	臟
lmbg	荑
pmi	蹁
pmic	蹁
tqft	隈
nmzv	骟
jhv	佾
jhvy	佾
vvp	剀
vvpd	剀
gyk	埒
gykc	埒
gone	埸
und	攮
undt	攮
eqf	栲
eqfa	栲
eql	栳
kbyx	泺
knvy	洧
phyo	糌
lc	艹
lwq	荦
lwqn	荦
onkc	赙
wok	鲥
wokc	鲥
gma	圬
gmae	圬
gvs	圯
gyl	塄
gylf	塄
gtt	壩
gttv	壩
bvvb	妣
hzy	忭
hzyb	忭
nlnh	慝
enam	椟
mkj	犰
azje	瘳
aki	耜
lc	艸
ljgs	茌
lpx	荇
cyvy	蛸
laob	贳
pxno	踬
bnk	郄
bnkt	郄
zhhb	铗
zow	颃
zowy	颃
yrp	鹹
yrpd	鹹
lc	丌
jvvb	仳
rup	刭
rupd	刭
oqlp	劓
doe	哚
doem	哚
dur	唣
durq	唣
cws	屣
cwss	屣
uyft	擐
onf	晡
etid	柝
ejzv	檎
xxx	歷
xxxs	歷
krjs	溷
pql	糞
pqlh	糞
zub	習
lwz	蓥
lwzj	蓥
lzju	蘧
pwe	趑
pweq	趑
pqpo	趱
ete	邗
jbte	郐
tutn	陴
rrrw	颡
jwj	傢
jwjs	傢
dld	嘆
dldh	嘆
gxs	坜
gxsl	坜
hss	惝
umz	掎
umzk	掎
erg	柽
ergt	柽
kjdd	瀹
mja	猞
mjas	猞
aad	疔
anh	癀
ria	簋
riam	簋
ukii	絷
iqh	缌
iqhx	缌
lqh	葸
lqhx	葸
utnt	郫
zca	锔
zcad	锔
zvo	镡
zvon	镡
nzhb	骐
dsl	叻
duch	噍
gxg	圹
gtm	垧
gtmd	垧
gbk	埭
gbks	埭
gnqf	埴
cgv	屍
cgvb	屍
cwp	屦
cwpb	屦
xld	廑
xlda	廑
hre	悃
hrem	悃
uol	拶
uolx	拶
oxj	昃
oxjr	昃
eyh	桴
eyhi	桴
qquv	氍
och	災
mxp	猁
mxpd	猁
apj	瘐
apjr	瘐
mly	砑
reu	箜
reug	箜
rnr	篚
rnrf	篚
ila	绁
ilae	绁
iyft	缳
lvvb	芘
lzhb	萁
laix	蓁
lzb	蓠
lzbv	蓠
yyk	酹
yykc	酹
zbd	镪
zbdc	镪
hopf	馘
wyaf	鳐
jnr	佈
jnrj	佈
gyc	垆
gycs	垆
gvg	堙
gvgt	堙
hdu	怃
ghhh	憝
mmd	扃
mmdk	扃
uhy	撙
uhyk	撙
ggw	殪
ggwz	殪
vvvm	毳
kjb	浍
kjby	浍
kaix	溱
msy	狺
nlhb	珙
aqi	瘰
aqis	瘰
qfga	眄
mgh	礅
mghh	礅
lhyg	菰
lpl	蕻
lplh	蕻
cmgd	蜩
ujje	觋
odp	贶
odpe	贶
note	郇
zed	镩
zedg	镩
pej	髹
peje	髹
pll	黟
pllx	黟
jqe	佴
gti	坼
gtid	坼
vly	岈
tmv	岙
tmvs	岙
hdpe	怳
uidk	掊
uwf	揎
uwff	揎
enm	杩
kfk	溽
kfkc	溽
qwd	牾
qwdk	牾
magt	狃
ndm	珉
obg	矧
obgs	矧
rvv	筚
rvvn	筚
rur	箨
ruru	箨
phii	糍
ipx	绗
pnc	舄
pnch	舄
idy	舳
iham	艋
lku	茳
lkug	茳
clwe	蝾
nawe	觌
svx	觜
svxt	觜
mlom	貘
ybyx	轹
ykc	酎
ycg	酤
yag	醜
zpw	铫
zpww	铫
zlet	镟
zwo	镥
zwor	镥
tkh	陔
nkd	骀
nkdk	骀
pep	髫
pepd	髫
jddd	龠
hdpe	兌
gyd	坫
gydk	坫
gja	埝
gjah	埝
bjs	彖
mjd	戽
ueo	揸
ueof	揸
uzhx	摅
emj	枘
emjr	枘
ewv	柁
ewvb	柁
eas	栝
kis	沩
kisi	沩
wyr	皲
wyrp	皲
ithq	瞀
ryv	筲
ryvy	筲
rubp	篼
ptv	糈
ptvy	糈
mhis	綮
gbid	羝
lbm	茆
lig	茛
lvvn	荜
lub	蔸
lubp	蔸
lgr	薤
lgrf	薤
pni	趵
pnid	趵
pvh	跽
pvhx	跽
ymh	辋
ymhf	辋
wpp	鲵
wppe	鲵
wnl	鲼
wnlo	鲼
hbcx	鹣
rbup	篼
lbup	蔸
joj	仉
gvvj	垲
gdn	埕
gdnw	埕
bni	妁
bnid	妁
rid	孓
hpd	忉
hci	忮
hehx	慾
